Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
3260000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;1407;msc.
4080000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;1616;msc.
4080000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;1980;msc.
4080000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;2568;msc.
4080000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;2520;msc.
4300000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;3919;msc.
4300000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;5133;msc.
4300000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;6978;msc.
4300000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;7651;msc.
4320000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;2389;msc.
4320000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;3085;msc.
4320000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;3687;msc.
4320000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;4184;msc.
5020000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;5844;msc.
5020000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;7119;msc.
5020000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;8578;msc.
5020000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;9543;msc.
5160000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;2007;msc.
5160000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;2470;msc.
5160000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;2593;msc.
5160000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;2946;msc.
6040000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;2028;msc.
6040000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;2283;msc.
6040000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;2766;msc.
6040000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;3142;msc.
6220000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;1961;msc.
6220000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;3311;msc.
6220000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;4688;msc.
6220000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;5010;msc.
6280000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2012;1248;msc.
6280000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2013;1392;msc.
6280000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2014;1671;msc.
6280000000;miejsca ogółem (łącznie z oddziałami i klubami dziecięcymi);2015;1847;msc.
