Kod;Wskaźniki;Rok;Wartosc;Jednostka miary
1100000000;autostrady na 1000 km2;2006;4,14;km
1100000000;autostrady na 1000 km2;2007;4,13;km
1100000000;autostrady na 1000 km2;2008;4,24;km
1100000000;autostrady na 1000 km2;2009;4,24;km
1100000000;autostrady na 1000 km2;2010;4,24;km
1100000000;autostrady na 1000 km2;2011;4,24;km
1100000000;autostrady na 1000 km2;2012;10,3;km
1100000000;autostrady na 1000 km2;2013;9,74;km
1100000000;autostrady na 1000 km2;2014;10,3;km
1100000000;autostrady na 1000 km2;2015;10,3;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2003;0,6;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2004;1,07;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2005;1,07;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2006;1,07;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2007;1,43;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2008;2,38;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2009;2,98;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2010;3,47;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2011;3,76;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2012;5,87;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2013;6,78;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2014;6,69;km
1140000000;drogi ekspresowe i autostrady na 1000 km2;2015;7,17;km
1140000000;autostrady na 1000 km2;2003;0;km
1140000000;autostrady na 1000 km2;2004;0;km
1140000000;autostrady na 1000 km2;2005;0;km
1140000000;autostrady na 1000 km2;2006;0;km
1140000000;autostrady na 1000 km2;2007;0;km
1140000000;autostrady na 1000 km2;2008;0;km
1140000000;autostrady na 1000 km2;2009;0;km
1140000000;autostrady na 1000 km2;2010;0;km
1140000000;autostrady na 1000 km2;2011;0;km
1140000000;autostrady na 1000 km2;2012;1,85;km
1140000000;autostrady na 1000 km2;2013;1,87;km
1140000000;autostrady na 1000 km2;2014;1,78;km
1140000000;autostrady na 1000 km2;2015;1,87;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2003;3,47;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2004;3,94;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2005;4,17;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2006;4,14;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2007;4,14;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2008;4,94;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2009;6,49;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2010;6,67;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2011;6,67;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2012;10,48;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2013;10,41;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2014;11,38;km
2120000000;drogi ekspresowe i autostrady na 1000 km2;2015;11,38;km
2120000000;autostrady na 1000 km2;2003;3,47;km
2120000000;autostrady na 1000 km2;2004;3,94;km
2120000000;autostrady na 1000 km2;2005;3,94;km
2120000000;autostrady na 1000 km2;2006;3,91;km
