Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
2120000000;linie komunikacji miejskiej;2013;4924;km
2120000000;linie komunikacji miejskiej;2014;5109,6;km
2120000000;linie komunikacji miejskiej;2015;5677,6;km
2120000000;linie komunikacji miejskiej na wsi;2012;2062;km
2120000000;linie komunikacji miejskiej na wsi;2013;1719;km
2120000000;linie komunikacji miejskiej na wsi;2014;1705,9;km
2120000000;linie komunikacji miejskiej na wsi;2015;1992,1;km
2120000000;linie autobusowe;2012;5122;km
2120000000;linie autobusowe;2013;4636;km
2120000000;linie autobusowe;2014;4812,7;km
2120000000;linie autobusowe;2015;5374,9;km
2120000000;linie tramwajowe;2012;288;km
2120000000;linie tramwajowe;2013;289;km
2120000000;linie tramwajowe;2014;296,9;km
2120000000;linie tramwajowe;2015;302,7;km
2240000000;linie komunikacji miejskiej;2012;12683;km
2240000000;linie komunikacji miejskiej;2013;12638;km
2240000000;linie komunikacji miejskiej;2014;12969,8;km
2240000000;linie komunikacji miejskiej;2015;12828,7;km
2240000000;linie komunikacji miejskiej na wsi;2012;1938;km
2240000000;linie komunikacji miejskiej na wsi;2013;2010;km
2240000000;linie komunikacji miejskiej na wsi;2014;1974,2;km
2240000000;linie komunikacji miejskiej na wsi;2015;1913;km
2240000000;linie autobusowe;2012;12236;km
2240000000;linie autobusowe;2013;12176;km
2240000000;linie autobusowe;2014;12503,2;km
2240000000;linie autobusowe;2015;12352,9;km
2240000000;linie tramwajowe;2012;375;km
2240000000;linie tramwajowe;2013;390;km
2240000000;linie tramwajowe;2014;394,6;km
2240000000;linie tramwajowe;2015;394,6;km
3060000000;linie komunikacji miejskiej;2012;1883;km
3060000000;linie komunikacji miejskiej;2013;2051;km
3060000000;linie komunikacji miejskiej;2014;2092,2;km
3060000000;linie komunikacji miejskiej;2015;2138;km
3060000000;linie komunikacji miejskiej na wsi;2012;556;km
3060000000;linie komunikacji miejskiej na wsi;2013;618;km
3060000000;linie komunikacji miejskiej na wsi;2014;635,8;km
3060000000;linie komunikacji miejskiej na wsi;2015;649;km
3060000000;linie autobusowe;2012;1804;km
3060000000;linie autobusowe;2013;1966;km
3060000000;linie autobusowe;2014;1979,8;km
3060000000;linie autobusowe;2015;2012,2;km
3060000000;linie tramwajowe;2012;0;km
3060000000;linie tramwajowe;2013;0;km
3060000000;linie tramwajowe;2014;0;km
3060000000;linie tramwajowe;2015;0;km
3180000000;linie komunikacji miejskiej;2012;3295;km
3180000000;linie komunikacji miejskiej;2013;3530;km
3180000000;linie komunikacji miejskiej;2014;2967,8;km
3180000000;linie komunikacji miejskiej;2015;2964,8;km
3180000000;linie komunikacji miejskiej na wsi;2012;1038;km
3180000000;linie komunikacji miejskiej na wsi;2013;816;km
3180000000;linie komunikacji miejskiej na wsi;2014;896,9;km
3180000000;linie komunikacji miejskiej na wsi;2015;881,9;km
3180000000;linie autobusowe;2012;3295;km
3180000000;linie autobusowe;2013;3530;km
3180000000;linie autobusowe;2014;2967,8;km
3180000000;linie autobusowe;2015;2964,8;km
3180000000;linie tramwajowe;2012;0;km
3180000000;linie tramwajowe;2013;0;km
3180000000;linie tramwajowe;2014;0;km
3180000000;linie tramwajowe;2015;0;km
3200000000;linie komunikacji miejskiej;2012;1068;km
3200000000;linie komunikacji miejskiej;2013;1085;km
3200000000;linie komunikacji miejskiej;2014;1191,5;km
3200000000;linie komunikacji miejskiej;2015;1196,5;km
3200000000;linie komunikacji miejskiej na wsi;2012;214;km
3200000000;linie komunikacji miejskiej na wsi;2013;205;km
3200000000;linie komunikacji miejskiej na wsi;2014;207,5;km
3200000000;linie komunikacji miejskiej na wsi;2015;278,5;km
3200000000;linie autobusowe;2012;1068;km
3200000000;linie autobusowe;2013;1085;km
3200000000;linie autobusowe;2014;1191,5;km
3200000000;linie autobusowe;2015;1196,5;km
3200000000;linie tramwajowe;2012;0;km
3200000000;linie tramwajowe;2013;0;km
3200000000;linie tramwajowe;2014;0;km
3200000000;linie tramwajowe;2015;0;km
3260000000;linie komunikacji miejskiej;2012;1910;km
3260000000;linie komunikacji miejskiej;2013;2370;km
3260000000;linie komunikacji miejskiej;2014;2470,5;km
3260000000;linie komunikacji miejskiej;2015;2247,7;km
3260000000;linie komunikacji miejskiej na wsi;2012;456;km
3260000000;linie komunikacji miejskiej na wsi;2013;651;km
3260000000;linie komunikacji miejskiej na wsi;2014;711,7;km
3260000000;linie komunikacji miejskiej na wsi;2015;552,3;km
3260000000;linie autobusowe;2012;1910;km
3260000000;linie autobusowe;2013;2370;km
3260000000;linie autobusowe;2014;2470,5;km
3260000000;linie autobusowe;2015;2247,7;km
3260000000;linie tramwajowe;2012;0;km
3260000000;linie tramwajowe;2013;0;km
3260000000;linie tramwajowe;2014;0;km
3260000000;linie tramwajowe;2015;0;km
4080000000;linie komunikacji miejskiej;2012;1154;km
4080000000;linie komunikacji miejskiej;2013;1272;km
4080000000;linie komunikacji miejskiej;2014;1246,1;km
4080000000;linie komunikacji miejskiej;2015;1119,2;km
4080000000;linie komunikacji miejskiej na wsi;2012;369;km
4080000000;linie komunikacji miejskiej na wsi;2013;361;km
4080000000;linie komunikacji miejskiej na wsi;2014;419,1;km
4080000000;linie komunikacji miejskiej na wsi;2015;316,3;km
4080000000;linie autobusowe;2012;1129;km
4080000000;linie autobusowe;2013;1247;km
4080000000;linie autobusowe;2014;1221,1;km
4080000000;linie autobusowe;2015;1094,2;km
4080000000;linie tramwajowe;2012;25;km
4080000000;linie tramwajowe;2013;25;km
4080000000;linie tramwajowe;2014;25;km
4080000000;linie tramwajowe;2015;25;km
4300000000;linie komunikacji miejskiej;2012;4024;km
4300000000;linie komunikacji miejskiej;2013;4825;km
4300000000;linie komunikacji miejskiej;2014;5327,5;km
4300000000;linie komunikacji miejskiej;2015;6025,7;km
4300000000;linie komunikacji miejskiej na wsi;2012;1314;km
4300000000;linie komunikacji miejskiej na wsi;2013;1637;km
4300000000;linie komunikacji miejskiej na wsi;2014;1767,2;km
4300000000;linie komunikacji miejskiej na wsi;2015;2309,8;km
4300000000;linie autobusowe;2012;3820;km
4300000000;linie autobusowe;2013;4596;km
4300000000;linie autobusowe;2014;5088,2;km
4300000000;linie autobusowe;2015;5782;km
4300000000;linie tramwajowe;2012;204;km
